出発地点,行先,移動時間[s]
0,1,4969.9
0,2,4332.1
0,3,4617.9
0,5,4270.1
0,6,4021.4
0,7,4366.5
0,8,4772.3
1,2,2900.7
1,3,3503.0
1,5,2900.8
1,6,2652.1
1,7,2935.1
1,8,3327.4
2,1,2888.2
2,3,1542.8
2,5,1981.7
2,6,2037.9
2,7,34.4
2,8,656.9
3,1,3579.9
3,2,1651.7
3,5,770.7
3,6,1053.1
3,7,1638.3
3,8,1313.5
5,1,2895.7
5,2,1981.6
5,3,661.7
5,6,341.9
5,7,1968.2
5,8,1643.3
6,1,2647.1
6,2,2035.2
6,3,944.1
6,5,341.9
6,7,2069.6
6,8,1925.7
7,1,2922.6
7,2,34.4
7,3,1529.5
7,5,1968.3
7,6,2072.4
7,8,643.6
8,1,3208.4
8,2,654.5
8,3,1204.5
8,5,1643.3
8,6,1925.7
8,7,641.1
