時	天
気	気
温	オ
ム
ニ
バ
ス	リ
バ
｜
鉄
道	カ
リ
ブ
の
海
賊	ジ
ャ
ン
グ
ル	ツ
リ
｜
ハ
ウ
ス	チ
キ
ル
｜
ム	ビ
ッ
グ
サ
ン
ダ
｜	Ｓ
ギ
ャ
ラ
リ
｜	ベ
ア
・
シ
ア
タ
｜	い
か
だ	蒸
気
船	ス
プ
ラ
ッ
シ
ュ	カ
ヌ
｜
探
検	ハ
ニ
｜
ハ
ン
ト	ホ
｜
ン
テ
ッ
ド	ア
リ
ス	ス
モ
｜
ル
ワ
｜
ル
ド	カ
ル
｜
セ
ル	シ
ン
デ
レ
ラ	ピ
ノ
キ
オ	ピ
｜
タ
｜
パ
ン	フ
ィ
ル
ハ
｜	白
雪
姫	空
飛
ぶ
ダ
ン
ボ	ゴ
｜
コ
｜
ス
タ
｜	グ
｜
フ
ィ
｜	Ｃ
Ｄ
ツ
リ
｜
ハ
ウ
ス	ド
ナ
ル
ド
の
ボ
｜
ト	ミ
ニ
｜
の
家	カ
｜
ト
ゥ
｜
ン	ス
タ
｜
・
ツ
ア
｜
ズ	ス
ペ
｜
ス	バ
ズ
ラ
イ
ト
イ
ヤ
｜	モ
ン
イ
ン	美
女
と
野
獣	ス
タ
｜
ジ
ェ
ッ
ト	ス
テ
ィ
ッ
チ
Ｅ
Ｎ
Ｃ	エ
ン
ト
グ
リ
西	エ
ン
ト
グ
リ
東	デ
イ
ジ
｜
グ
リ	ド
ナ
ル
ド
グ
リ	ミ
｜
ト
・
ミ
ッ
キ
｜	平
均
待
ち
時
間
03/31 15:30	晴	23.1	10	25	25	35	-	5	-	20	5	5	10	135	50	25	-	80	15	25	15	20	-	15	25	45	50	15	5	10	10	40	45	130	100	95	130	95	20	-	40	40	50	45	43
04/01 15:30	曇	17.1	5	20	25	25	-	5	-	15	5	5	10	160	40	25	-	90	20	20	20	20	45	10	30	45	60	20	5	5	10	40	45	140	75	110	135	95	15	-	35	25	35	30	42
04/02 15:30	晴	17.3	5	20	25	25	-	5	-	10	5	5	10	185	50	20	-	60	25	25	20	30	45	10	35	45	60	20	5	5	5	45	35	140	60	90	115	100	15	-	20	15	30	30	40
04/03 15:30	小雨	15.0	5	5	10	10	-	5	-	5	5	5	10	60	5	20	-	50	10	10	15	15	35	10	30	15	25	10	5	5	10	35	25	85	45	75	95	50	15	-	25	15	30	20	25
04/04 15:30	曇	18.8	15	20	25	30	-	5	-	15	5	5	10	170	30	25	-	80	20	15	20	30	50	15	35	50	65	20	5	5	15	45	65	140	75	90	155	70	15	-	40	15	35	40	43
04/05 15:30	曇	12.2	5	15	15	25	-	5	-	10	5	5	10	95	25	20	-	60	15	15	25	20	45	10	35	35	40	15	5	5	25	35	50	90	45	75	110	75	15	-	20	35	35	35	33
04/06 15:30	曇	13.5	5	20	20	25	-	5	-	5	5	5	10	70	35	15	-	40	15	15	15	10	35	5	20	40	30	10	5	5	5	30	25	90	45	55	-	75	15	-	25	20	30	30	25
04/07 15:30	晴	21.8	5	10	10	15	-	5	-	5	5	5	5	50	20	10	-	20	5	10	5	10	20	5	15	20	15	5	5	5	5	20	15	60	25	60	45	40	15	-	30	25	30	30	18
04/08 15:30	曇	21.1	5	20	15	20	-	5	-	5	5	5	10	70	30	10	-	40	10	15	15	10	35	10	20	30	25	5	5	5	10	30	15	75	45	60	75	45	15	-	170	70	55	55	32
04/09 15:30	小雨	14.2	5	10	5	5	-	5	-	5	5	5	10	25	5	5	-	5	5	5	10	5	20	5	10	20	5	5	5	5	5	25	5	70	20	45	60	40	15	-	100	50	40	45	20
04/10 15:30	晴	15.6	10	25	15	20	-	5	-	5	5	5	10	85	15	-	-	50	15	20	10	20	45	15	25	40	30	5	5	5	5	35	30	90	45	70	110	75	15	-	90	50	50	60	35
04/11 15:30	曇	17.2	5	20	15	20	-	5	-	5	5	5	10	90	5	10	-	50	10	15	20	5	40	5	25	40	20	10	5	5	5	30	35	100	45	65	-	65	15	-	120	40	50	45	30
04/12 15:30	曇	16.4	5	20	20	20	-	5	-	5	5	5	10	75	20	25	-	-	5	20	20	10	45	10	25	50	30	20	5	5	15	40	25	110	55	75	120	85	20	-	145	50	55	65	38
